#FamilyID	SampleID	FatherID	MotherID	Sex	Population	Superpopulation	SampleIllumina
BB01	HG01879	0	0	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01879_ERR3242292.fasta.gz
BB01	HG01880	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01880_ERR3242293.fasta.gz
BB01	HG01881	HG01879	HG01880	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB36890.698/HG01881_ERR3988939.fasta.gz
BB02	HG01882	0	0	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01882_ERR3242189.fasta.gz
BB02	HG01883	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01883_ERR3242190.fasta.gz
BB02	HG01888	HG01882	HG01883	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB36890.698/HG01888_ERR3988942.fasta.gz
BB03	HG01884	HG01885	HG01956	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB36890.698/HG01884_ERR3988940.fasta.gz
BB03	HG01885	0	0	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01885_ERR3242191.fasta.gz
BB03	HG01956	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01956_ERR3242192.fasta.gz
BB04	HG01886	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01886_ERR3242194.fasta.gz
BB04	HG01887	HG02014	HG01886	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB36890.698/HG01887_ERR3988941.fasta.gz
BB04	HG02014	0	0	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG02014_ERR3242193.fasta.gz
BB05	HG01889	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01889_ERR3242196.fasta.gz
BB05	HG01890	0	0	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01890_ERR3242195.fasta.gz
BB05	HG01891	HG01890	HG01889	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB36890.698/HG01891_ERR3988943.fasta.gz
BB06	HG01894	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01894_ERR3242235.fasta.gz
BB06	HG01895	HG01912	HG01894	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB36890.698/HG01895_ERR3988944.fasta.gz
BB06	HG01912	0	0	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01912_ERR3242234.fasta.gz
BB07	HG01896	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01896_ERR3242295.fasta.gz
BB07	HG01897	HG02013	HG01896	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB36890.698/HG01897_ERR3988945.fasta.gz
BB07	HG02013	0	0	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG02013_ERR3242294.fasta.gz
BB08	HG01985	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01985_ERR3242296.fasta.gz
BB09	HG01914	0	0	1	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01914_ERR3242218.fasta.gz
BB09	HG01915	0	0	2	ACB	AFR	/gpfs/project/projects/medbioinf/data/illumina_nygc/output/reduced/PRJEB31736.2504/HG01915_ERR3242219.fasta.gz
